title,ingredients,method,Main ingredients,Cuisine,Course,Prep time,Cook time,Serve,Taste,Level of cooking,Veg/Non Veg
Yogurt Cheese,[],"['Mash chenna in a bowl. Add yogurt and salt and mix well. Refrigerate for 5-10 minutes.', 'Spread parsley, red chilli powder, crushed peanuts and crushed peppercorns on 4 individual plates.', 'Grease your palms with a little oil, divide chenna-yogurt mixture into equal portions and shape into small balls. Roll each of them in the four ingredients separately and place on a serving plate.', 'You can also serve in this manner: fill a small serving bowl with a spoonful of olive oil and place a ball in it.', 'Chill and serve.']",,Fusion,Desserts,,11-15 minutes,,Sweet,,Veg
Bomras Tomato Salad,[],"['Blanch the tomatoes to remove the skin. Peel and quarter to get 4 slices from each tomato. Remove the seeds.', 'In a bowl massage the tomatoes with tamarind and jaggery water.', 'Toss in all other ingredients into the bowl. Mix well.', 'Garnish with some more garlic chips and serve.']",,Fusion,Salads,,0-5 minutes,4,Spicy,,Veg
Apple Walnut Salad - SK Khazana,[],"['Slice the apples thinly and set aside.', 'Mix together yogurt, grainy mustard, salt, crushed peppercorns and olive oil in a bowl.', 'Add cabbage, purple cabbage, carrot, radish, celery, cranberries, sliced apples and walnuts and mix well.', 'Transfer into a serving bowl and serve immediately.']",,Fusion,Salads,,0-5 minutes,4,Mild,,Veg
Pepper Garlic Malai Prawns,[],"['Place prawns in a bowl. Rub lemon juice and salt on them and set aside.', 'Heat oil in a non-stick pan. Crush garlic cloves, add to the pan and saute till they become light golden.', 'Add 1 tbsp butter, prawns and mix. Add crushed black peppercorns, mint powder and mix.', 'Add coconut milk, fresh cream and mix well. Cook till the prawns are done.', 'Burn a piece of coal over direct flame. Transfer the prawns into a serving bowl.', 'Place a katori over the prawns. Place the burnt coal in the katori, put the remaining butter on the coal. Add 2 cloves and immediately cover with aluminium foil for smoky effect.', 'Serve hot.']",,Indian,Main Course Seafood,,16-20 minutes,4,Mild,,Non Veg
Chicken Caesar Burger,[],"['To make the dressing, take egg yolk in a bowl. Add vinegar and 1 teaspoon garlic and beat well, adding  3/4  cup olive oil gradually, till well combined.Add salt and crushed peppercorns and mix well.', 'Halve burger buns horizontally; apply butter on the inner side of the upper half and on the base bun. Sprinkle 1 teaspoon garlic on each base half.', 'Slit chicken breasts horizontally into halves and place in another bowl. Add 2 teaspoons garlic, crushed peppercorns, salt, chilli flakes and 1 tablespoon olive oil and mix well. Set aside to marinate for 10-15 minutes.', 'Add parmesan cheese powder to the dressing and mix well. Set aside.', 'Heat a griller and grease with butter. Place the bun halves and grill them till marks appear. Remove from heat and set aside.', 'Place the marinated chicken on the griller and grill till fully cooked and grill marks appear on both sides.', 'Place some lettuce on each base half of the buns. Top with a grilled chicken piece, sprinkle some parmesan cheese powder and drizzle some dressing. Cover with the top halfof the buns.', 'Serve hot.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Mild,,Non Veg
Prawn in Black Bean Sauce,[],"['Put prawns in a bowl, add 1 tablespoon soy sauce and salt and mix well. Set aside to marinate.', 'To prepare sauce, heat oil in a non-stick pan, add red chillies and garlic and saute till garlic turns golden.', 'Add marinated prawns and toss. Add black bean sauce, remaining soy sauce and fish stock and mix well.', 'Add onion and capsicum, mix and cook for a minute.', 'Mix cornstarch in some stock to make a smooth slurry, add to the pan and mix well. Add sugar and peanuts and mix well. Cook for a minute.', 'Roughly chop basil leaves, add to the mixture and mix well.', 'Serve hot garnished with a basil leaf.']",,Thai,Main Course Seafood,,11-15 minutes,4,Spicy,,Non Veg
Mango Thandai,[],"['Boil milk in a deep non-stick pan. Add saffron and castor sugar, stir well and boil further till it reduces to half the original quantity.', 'Grind cardamoms, rose petals, peppercorns and cinnamon to a fine powder. Put it into a bowl.', 'Peel almonds and pistachios and grind them with melon seeds, cashewnuts and poppy seeds to a fine paste with a little water.', 'Add the ground paste to the pan, mix well and boil further. Add ground powder and mix well. Remove from heat and cool.', 'Add the mango pulp and mix well. Refrigerate till chilled. Serve chilled.']",,Uttar Pradesh,Beverages,,1.30-2 hour,4,Sweet,,Veg
Anzac Biscuits -SK Khazana,[],"['Preheat the oven at 180@C. Line a baking tray with parchment sheet and set aside.', 'Take oats in a large bowl and add desiccated coconut. Sieve flour into the bowl and add castor sugar. Mix it all well.', 'Heat butter in a non-stick pan and let it melt. Add golden syrup and mix well.', 'Take baking soda in a small bowl, add 1 tbsp water and mix well. Add it to the pan and mix well till the mixture starts foaming. Take it off the heat and add to the flour mixture and mix till well combined.', 'Divide the mixture into equal portions, shape each into a ball and flatten it slightly. Keep these biscuits on the prepared baking tray.', 'Place the tray in the preheated oven and bake for 12 minutes. Take them out of the oven and allow to cool down to room temperature.', 'Arrange them on a serving plate and serve or store in an air-tight container.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Sweet,,Veg
Chura Vada Pav,[],"['Heat 2 tsps oil in a non-stick pan, add mustard seeds and let them splutter. Add curry leaves and saute for  1/2  minute. Transfer into a bowl of mashed potatoes.', 'Add  1/2  tsp turmeric powder, salt, coriander leaves and green chutney and mix well. Divide the mixture into equal portions and shape them into balls.', 'Heat sufficient oil in a kadai.', 'Take gram flour in a large bowl, add baking soda, salt, remaining turmeric powder and sufficient water and whisk to a smooth semi-thick batter of coating consistency.', 'Dip each potato ball into the batter till they are well coated, gently slide into hot oil and deep-fry till  3/4  done. Drain onto a plate.', 'For making chura, drizzle the batter into the hot oil and deep fry for a few seconds. Add the  3/4  done vadas and deep fry till the churas and vadas are golden brown and crisp. Drain on absorbent paper.', 'Slit a set of 2 pavs for each portion without cutting through. Drizzle tamarind chutney and green chutney over one half. Sprinkle dry lasoon chutney and fold the pavs so that the other side so that the chutnies get on to the other side too. Place 1 vada between each pav, sprinkle dry lasoon chutney, chopped onions and some churas.', 'Drizzle date and tamarind chutney, green chutney, dry lasoon chutney and sprinkle coriander leaves. Bring the other half over and press gently. Serve immediately.']",,Indian,Snacks and Starters,,16-20 minutes,4,Spicy,,Veg
Cheese Biscuits,[],"['Preheat oven at 180oC. Line a baking tray with parchment paper.', 'Sieve refined flour in a bowl. Add salt, crushed peppercorns and baking soda and mix well. Add cheese and mix well. Add cream, mix and knead into a soft dough.', 'Dust the worktop with some flour, place the prepared dough and roll out into a thick disc. Cut roundels with a medium cookie cutter and place on the parchment paper. Set aside for 10-15 minutes.', 'Put the tray in the preheated oven and bake for 10-15 minutes.', 'Remove from heat, cool and serve.']",,British,Snacks and Starters,,26-30 minutes,4,Mild,,Veg
Pumpkin Chocolate Chip Bread,[],"['Preheat oven to 170deg C. Grease a loaf tin with some oil and dust with some flour.', 'Put flour, baking soda, cinnamon powder, nutmeg powder, clove powder and salt in a bowl and mix well.', 'Put eggs, granulated sugar and brown sugar in another bowl and whisk together till combined. Add pumpkin puree, oil and orange juice and mix well. Add this mixture to the flour mixture and mix gently.', 'Fold in the chocolate chips and mix until well combined. Pour the batter into the prepared tin, place the tin in the preheated oven and bake for sixty to sixty-five minutes.', 'Remove from oven and cool. Remove from the mould, slice and serve.']",,Fusion,Breads,,2-2.30 hour,4,Sweet,,Non Veg
Khoya Matar,[],"['Heat ghee in a non-stick pan. Add cumin seeds and saute till the seeds change colour. Add green chillies and onions, mix and saute till translucent.', 'Add khoya and mix well. Add coriander powder, chilli powder, garam masala powder, fennel powder and salt, mix well and cook for 2 minutes.', 'Add tomatoes and green peas, mix and cook till tomatoes turn soft and pulpy. Add cashewnuts and  1/2  cup water, mix, cover and cook till oil separates.', 'Garnish with coriander leaves and serve hot.']",,Uttar Pradesh,Main Course Vegetarian,,21-25 minutes,4,Spicy,,Veg
Cornflakes Crusted Chicken Nuggets,[],"['Cut chicken breasts into cubes.', 'Crush cornflakes and place into a bowl. Add herb mix and paprika powder and mix well.', 'Spread refined flour and breadcrumbs onto two separate plates.', 'Break egg in another bowl and whisk well.', 'Heat sufficient oil in a kadai.', 'Sprinkle salt and crushed peppercorns on chicken cubes and mix well.', 'Coat chicken cubes in flour, dip in whisked egg, coat in breadcrumbs and finally coat in cornflakes mixture and shape into nuggets.', 'Deep-fry nuggets in medium hot oil till golden. Drain on absorbent paper.', 'To make dip, combine mayonnaise, tomato ketchup, Tabasco sauce, salt and crushed peppercorns into a bowl and mix well.', 'Place Iceberg lettuce on serving dish. Put dip in a small bowl and place on the dish. Arrange nuggets along the bowl and serve immediately.']",,American,Snacks and Starters,,31-40 minutes,4,Mild,,Non Veg
Burnt Garlic And Mint Chutney,[],"['Heat oil in a pan, add garlic and saute. Sprinkle black salt and saute till well browned.', 'Put the mint leaves into a mixer. Add ginger and green chillies. Add sauteed garlic. Add two tablespoons of water with salt and grind to a fine paste.', 'Add the paste to yogurt and mix well. Add lemon juice and salt and mix. Pass this mixture through a muslin cloth, squeezing well to get a smooth chutney.', 'Serve chilled.']",,Fusion,"Pickles, Jams and Chutneys",,0-5 minutes,4,Sour,,Veg
Arbi Seekh Kabab-SK Khazana,[],"['Put colocassia in a pressure cooker, add turmeric powder and sufficient water, close with the lid and cook under pressure till 1 whistle is given out.', 'Blend together dried rose petals, fried onions, cashewnuts and poppy seeds with sufficient water to a fine paste.', 'Open the lid of the cooker when the pressure reduces and drain the colocassia and let them cool down to room temperature.', 'Peel and mash boiled colocassia into a bowl. Add the ground paste, black cardamom powder, clove powder, crushed peppercorns, green cardamom powder, salt and cornflour and mix well. Add coriander leaves and mix well.', 'Grease your palms with some oil and wrap small portions of colocassia mixture around individual seekhs.', 'Heat some ghee in a non-stick pan. Add seekh kababs and shallow-fry, rolling the seekhs occasionally, till golden brown and evenly done from all around.', 'Serve hot with onion rings, lemon slices and green chutney.']",,Indian,Snacks and Starters,,16-20 minutes,4,Mild,,Veg
Eggs in a Bread Bowl,[],"['Heat oil in a non-stick pan. Add garlic and saute well. Add onion and saute till light brown.', 'Add mixed capsicums, mix and saute for 2 minutes. Add sausages, salt and crushed peppercorns and toss well. Cook for a minute and transfer the mixture into a bowl. Break eggs into the bowl.', 'Discard the top portion of the breads and scoop out to make a bread bowl.', 'Add cheddar cheese and processed cheese to the cooked mixture and mix well.', 'Fill the bread bowl with the egg mixture, place it on a baking tray, place the tray in the preheated oven and bake till the egg is cooked.', 'Serve hot.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Mild,,Non Veg
Kesari Shrikhand-SK Khazana,[],"['Whisk together hung yogurt and powdered sugar in a bowl till smooth and creamy.', 'Add saffron milk and whisk till well blended. Add nutmeg powder and cardamom powder and mix well. Refrigerate to chill.', 'Garnish with almonds, pistachios, saffron and serve chilled.']",,Maharashtrian,Mithais,,Cooking Time,4,Sweet,,Veg
Dahi Wale Aloo,[],"['Take potato cubes in a bowl, add salt, red chilli powder and turmeric powder and mix well.', 'Heat 1 tbsp oil in a non-stick pan, add 1 tsp cumin seeds and saute till their colour changes. Add green chillies and asafoetida and mix well.', 'Add potatoes and mix well. Add sugar and coriander leaves and mix well. Add 1 cup water and a pinch of salt and mix well. Cover and cook for 5 minutes.', 'Add lemon juice, and mix well. Take the pan off the heat and transfer into a bowl. Add yogurt and mix well.', 'Transfer into a serving bowl, garnish with coriander sprig and serve.']",,Indian,Main Course Vegetarian,,11-15 minutes,4,Mild,,Veg
